title	director	rating	votes	year	genre	gross	budget	run-time	actor1	actor1_rank	actor1_sex	actor2	actor2_rank	actor2_sex	actor3	actor3_rank	actor3_sex	actor4	actor4_rank	actor4_sex	actor5	actor5_rank	actor5_sex	actor6	actor6_rank	actor6_sex	plot
American Hustle (2013)	David O. Russell	7.3	363690	2013	Crime	251171807	40000000	129	Christian Bale	247	M	Robert De Niro	300	M	Bradley Cooper	507	M	Jeremy Renner	562	M	Jack Huston	1176	M	Michael Moore	1789	M	A fictional film set in the alluring world of one of the most stunning scandals to rock our nation American Hustle tells the story of brilliant con man Irving Rosenfeld ('Christian Bale' (qv)) who along with his equally cunning and seductive British partner Sydney Prosser ('Amy Adams (III)' (qv)) is forced to work for a wild FBI agent Richie DiMaso ('Bradley Cooper (I)' (qv)). DiMaso pushes them into a world of Jersey powerbrokers and mafia that's as dangerous as it is enchanting. 'Jeremy Renner' (qv) is Carmine Polito the passionate volatile New Jersey political operator caught between the con-artists and Feds. Irving's unpredictable wife Rosalyn ('Jennifer Lawrence (III)' (qv)) could be the one to pull the thread that brings the entire world crashing down.
The Matrix Revolutions (2003)	Lana Wachowski	6.7	369688	2003	Action	427343298	150000000	129	Keanu Reeves	169	M	Carrie-Anne Moss	311	F	Monica Bellucci	317	F	Essie Davis	767	F	Jada Pinkett Smith	827	F	Hugo Weaving	868	M	Neo discovers that somehow he is able to use his powers in the real world too and that his mind can be freed from his body as a result of which he finds himself trapped on a train station between the Matrix and the Real World. Meanwhile Zion is preparing for the oncoming war with the machines with very little chances of survival. Neo's associates set out to free him from The Merovingian since it's believed that he is the One who will end the war between humans and the machines. What they do not know is that there is a threat from a third party someone who has plans to destroy both the worlds.
The Offspring (1987)	Jeff (I) Burr	5.9	1363	1987	Action	1355728	1100000	92	Vincent Price	1096	M	Cameron Mitchell	2761	M	Clu Gulager	5074	M	Terry Kiser	7222	M	Lawrence Tierney	8134	M	Martine Beswick	8223	F	The uncle of an executed murderess relates four stories of his hometown Oldfield to a reporter: an elderly man pursues a romance with a younger woman even to the grave and beyond...a wounded man on the run from creditors is rescued by a backwoods hermit with the secret to eternal life...a glass-eating carny pays the ultimate price for looking for love on the outside...and Civil War soldiers are held captive by a household of orphans with strange intentions for them.
Yours Mine & Ours (2005)	Raja Gosnell	5.4	22124	2005	Comedy	72028752	45000000	88	Danielle Panabaker	137	F	Sean Faris	1288	M	Rene Russo	1332	F	Dennis Quaid	1751	M	Miranda Cosgrove	1972	F	Jerry O'Connell	2002	M	Admiral Frank Beardsley returns to New London to run the Coast Guard Academy his last stop before a probable promotion to head the Guard. A widower with eight children he runs a loving but tight ship with charts and salutes. The kids long for a permanent home. Helen North is a free spirit a designer whose ten children live in loving chaos with occasional group hugs. Helen and Frank high school sweethearts reconnect at a reunion and it's love at first re-sighting. They marry on the spot. Then the problems start as two sets of kids the free spirits and the disciplined preppies must live together. The warring factions agree to work together to end the marriage.
High Spirits (1988)	Neil (I) Jordan	5.7	6606	1988	Comedy	8578231	17000000	99	Liam Neeson	570	M	Jennifer Tilly	840	F	Daryl Hannah	1229	F	Peter O'Toole	2032	M	Steve Guttenberg	2649	M	Peter Gallagher	3041	M	When Peter Plunkett's Irish castle turned hotel is about to be repossesed he decides to spice up the attraction a bit for the 'Yanks' by having his staff pretend to haunt the castle. The trouble begins when a busload of American tourists arrive - along with some real ghosts. Among the tourists are married couple Jack and Sharon. Sharon's father holds the mortgage on Castle Plunkett so she's hoping to debunk the ghosts. Jack on the other hand after meeting pretty ghost Mary is very eager to believe. Can there be love between a human and ghost? Jack and Mary are going to try and find out.
Frida (2002)	Julie Taymor	7.4	62725	2002	Biography	56298474	12000000	123	Salma Hayek	393	F	Edward Norton	664	M	Ashley Judd	1017	F	Geoffrey Rush	1529	M	Antonio Banderas	1686	M	Diego Luna	1815	M	Frida chronicles the life Frida Kahlo shared unflinchingly and openly with Diego Rivera as the young couple took the art world by storm. From her complex and enduring relationship with her mentor and husband to her illicit and controversial affair with Leon Trotsky to her provocative and romantic entanglements with women Frida Kahlo lived a bold and uncompromising life as a political artistic and sexual revolutionary.
Mrs. Winterbourne (1996)	Richard (I) Benjamin	6.2	5754	1996	Comedy	10070000	25000000	105	Paula Prentiss	787	F	Brendan Fraser	980	M	Jane Krakowski	2142	F	Bobcat Goldthwait	2814	M	Shirley MacLaine	2890	F	Ricki Lake	5322	F	Connie Doyle is eighteen and pregnant when her boyfriend kicks her out. She accidentally ends up on a train where she meets Hugh Winterbourne and his wife Patricia who is pregnant. The train wrecks and she wakes up in the hospital to find out that it's been assumed that she's Patricia. Hugh's mother takes her in and she falls in love with Hugh's brother Bill. Just when she thinks everything is going her way her ex-boyfriend shows up.
Jeff Who Lives at Home (2011)	Jay Duplass	6.5	56423	2011	Comedy	4244155	10000000	83	Susan Sarandon	524	F	Judy Greer	1242	F	Jason Segel	1273	M	Ed Helms	3112	M	Katie Aselton	3350	F	Rae Dawn Chong	3522	F	Jeff at 30 lives in his mom's basement unemployed looking for signs about what to do with his life. He answers a wrong-number call for "Kevin". Later on a bus he sees someone wearing a jersey with "Kevin" on the back. Jeff follows him. Meanwhile Jeff's brother Pat a tone-deaf salesman upsets his wife by buying a Porsche they cannot afford; Pat runs into Jeff soon after and they see Pat's wife with another man. At her job Jeff and Pat's mom receives e-mails from a secret admirer; she tries to figure out who it is. Misunderstandings errors and confrontations abound. A backup on the Lake Pontchartrain Causeway brings things to a head.
Moon Over Parador (1988)	Paul Mazursky	5.9	4555	1988	Comedy	11444204	20000000	103	Raul Julia	384	M	Richard Dreyfuss	1356	M	Dana Delany	1927	F	Sonia Braga	3680	F	Edward Asner	4363	M	Polly Holliday	7342	F	Little known actor Jack Noah is working on location in the country of Parador at the time the dictator dies. The dictator's right hand man Roberto makes Jack an offer he cannot refuse.. to play the dictator. Jack's acting skills fool the masses but not close friends and employees of the dictator.
The Oogieloves in the Big Balloon Adventure (2012)	Matthew (I) Diamond	6.6	14111	2012	Adventure	1064277	20000000	88	Jaime Pressly	548	F	Christopher Lloyd	712	M	Cary Elwes	1002	M	Cloris Leachman	1750	F	Garrett Clayton	2212	M	Chazz Palminteri	5737	M	It's Schluufy's birthday and the Oogieloves (Goobie Zoozie and Toofie) along with their friends J. Edgar Windy Window and Ruffy are organizing a party. (Shh! It's a secret.) Everything is going along just perfectly until J. Edgar trips and loses the last five magical balloons in all of Lovelyloveville--OH NO! The Oogiloves set out to find the magical balloons in time to save their friend's party. Along the way they meet some very interesting characters indeed including Dotty Rounder (Cloris Leachman) Bobby Wobbly (Carey Elwes) Milky Marvin (Chazz Palminteri) Rosalie Rosebud (Toni Braxton) and Lola and Lero Sombero (Christopher Lloyd and Jaime Pressly). Can these new friends help them recover the magical balloons and get back to the cottage in time to celebrate Schluufy's surprise birthday?
The Mortal Instruments: City of Bones (2013)	Harald Zwart	6	108763	2013	Fantasy	90565421	60000000	130	Aidan Turner	219	M	Lena Headey	276	F	Jared Harris	675	M	Jonathan Rhys Meyers	766	M	Kevin Durand	873	M	Jamie Campbell Bower	1277	M	Set in contemporary New York City a seemingly ordinary teenager Clary Fray discovers she is the descendant of a line of Shadowhunters a secret cadre of young half-angel warriors locked in an ancient battle to protect our world from demons. After the disappearance of her mother Clary must join forces with a group of Shadow Hunters who introduce her to a dangerous alternate New York called the Shadow World filled with demons warlocks vampires werewolves and other deadly creatures.
The Comebacks (2007)	Tom (I) Brady	4.2	10049	2007	Comedy	13349251	20000000	107	Shannon Woodward	79	F	Bradley Cooper	507	M	Noureen DeWulf	1777	F	Melora Hardin	1928	F	Brooke Nevin	1994	F	Will Arnett	2172	M	Lambeau Fields lives a middle-class lifestyle in America along with his wife Barb and a gorgeous daughter Michelle who he has brought up as a son. Lambeau is a failure and has virtually given up on his career as a football coach. Then his friend Freddie Wiseman encourages him to re-enter this field and he does so by re-locating to Plainfolk in Texas and joins the Heartland State University. It is here he will meet some of the most pathetic players and quite disillusioned he goes about to find new-comers. He finds a kicker in Jasminder Featherfoot provided of course he keeps her involvement secret from the rest of her family. Then he finds Lance Truman whose drag queen dad has brought him up more like a tom-girl. With these additions and others Lambeau sets forth to include his team in the next Super...Er...Toilet Bowl 2 series and it is here that he will find that Lance fumbles a lot; Barb is not quite faithful as she seems; he will soon be in jail for Indecent Exposure; Michelle has a black boyfriend; and Freddie has a hidden agenda.
Premonition (2007/I)	Mennan Yapo	5.9	63010	2007	Drama	84146832	20000000	96	Sandra Bullock	396	F	Nia Long	523	F	Peter Stormare	1137	M	Amber Valletta	2621	F	Julian McMahon	3360	M	Kate Nelligan	6134	F	The middle-class couple Linda Hanson and Jim Hanson live a wasted and routine relationship with their two daughters in their comfortable house in the suburbs. On a Thursday morning the local sheriff visits Linda and tells her that her husband died in a car accident on the previous day. On the next morning when Linda awakes she finds Jim safe and sound at home. When she awakes on the next morning she realizes that her days are out of order but her family and friends believe she is insane.
The Frozen Ground (2013)	Scott (X) Walker	6.4	44464	2013	Crime	43939	27220000	105	Nicolas Cage	203	M	John Cusack	619	M	Jodi Lyn O'Keefe	729	F	Vanessa Hudgens	929	F	Radha Mitchell	1638	F	Katherine LaNasa	2260	F	Alaska Trooper Jack Holcombe believes Robert Hansen is a serial killer who abducts young girls tortures and sexually assaults them then kills them. But Holcombe doesn't have enough evidence to get a search warrant for Hansen's premises. Holcombe knows that one victim Cyndy Paulsen somehow survived so he decides to seek her help but he finds that she's now a junkie with trust issues. Holcombe has to earn her trust; meanwhile Hansen is still hunting and killing girls.
Desperate Measures (1998)	Barbet Schroeder	6.1	13999	1998	Action	13806137	50000000	100	Michael Keaton	740	M	Andy Garcia	1798	M	Marcia Gay Harden	1843	F	Brian Cox	2210	M	Janel Moloney	5278	F	Richard Riehle	5610	M	San Francisco police officer Frank Connor is in a frantic search for a compatible bone marrow donor for his gravely ill son. There's only one catch: the potential donor is convicted multiple murderer Peter McCabe who sees a trip to the hospital as the perfect opportunity to get what he wants most: freedom. With McCabe's escape the entire hospital becomes a battleground and Connor must pursue and ironically protect the deadly fugitive who is his son's only hope for survival.
Psycho Beach Party (2000)	Robert Lee King	6.3	4662	2000	Comedy	265107	1500000	85	Thomas Gibson	2930	M	Nicholas D'Agosto	3096	M	Nicholas Brendon	3957	M	Beth Broderick	4641	F	Reggie Lee	8040	M	Jenica Bergere	9355	F	Spoof of 1960's Beach Party/Gidget surfing movies mixed with slasher horror films stars Lauren Ambrose as Florence Forrest a not-so-innocent girl in 1960's Malibu who becomes "Chicklet" the first girl surfer at Malibu Beach only Florence suffers from dissociative identity disorder and occasionally her alter ego Ann Bowman a sexually aggressive foul-speaking girl comes out in which during that time several beach goers are found murdered. The suspects include Chicklet herself surfer Kanaka B-horror film actress Bettina Barnes exchange student Lars and even Chicklet's own mother.
The Hunted (2003)	William Friedkin	6	36310	2003	Action	10782486	55000000	94	Benicio Del Toro	881	M	Tommy Lee Jones	1444	M	Mark Pellegrino	2364	M	Johnny Cash	6664	M	Leslie Stefanson	8250	F	Mike White	9130	M	In the green woods of Silver Falls Oregon Aaron Hallam a trained assassin AWOL from the Special Forces keeps his own brand of wildlife vigil. After Hallam brutally slew four deer hunters in the area FBI Special Agent Abby Durrell turns to L.T. Bonham-- the one man who may be able to stop him. At first L.T. resists the mission. Snug in retirement he's closed off to his past the years he spent in the Special Forces training soldiers to become skilled killers. But when he realizes that these recent slaying is the work of a man he trained he feels obligated to stop him. Accepting the assignment under the condition that he works alone L.T. enters the woods unarmed--plagued by memories of his best student and riddled with guilt for not responding to Aaron's tortured letters to him as he began to slip over the edge of sanity. Furious as he is with his former mentor for ignoring his pleas for help Aaron knows that he and L.T. share a tragic bond that is unbreakable. And even as they go into their final combat against each other neither can say with certainty who is the hunted and who is the hunter.
Dumb & Dumber (1994)	Bobby Farrelly	7.3	292100	1994	Comedy	247275374	16000000	113	Jim Carrey	406	M	Teri Garr	701	F	Lauren Holly	1239	F	Lin Shaye	1938	F	Charles Rocket	2644	M	Jeff Daniels	2776	M	Harry and Lloyd are two good friends who happen to be really stupid. The duo set out on a cross country trip from Providence to Aspen Colorado to return a briefcase full of money to its rightful owner a beautiful woman named Mary Swanson. After a trip of one mishap after another the duo eventually make it to Aspen. But the two soon realize that Mary and her briefcase are the least of their problems.
Popstar: Never Stop Never Stopping (2016)	Akiva Schaffer	6.7	21237	2016	Comedy	9393835	20000000	87	Katy Perry	92	F	Imogen Poots	284	F	Joan Cusack	519	F	Justin Timberlake	758	M	Andy Samberg	1151	M	Kirk Douglas	1161	M	When his new album fails to sell records pop/rap superstar conner4real goes into a major tailspin and watches his celebrity high life begin to collapse. He'll try anything to bounce back anything except reuniting with his old rap group The Style Boyz. When it becomes apparent that his new album ConnQuest is a bomb internationally renowned pop star Connor 4 Real does everything he can to save what's left of his career. Even if it means selling out or appearing on endless late night talk shows. But when the populace demands that he reunite his former band "The Style Boyz" Connor brushes off every attempt to do so. Even if that means reconnecting with the one former member who can make it all happen but he is reluctant to do so. Can Connor clean up his act and make amends to reunite his crew? Or will his ego get in the way?
The Dying Gaul (2005/I)	Craig (I) Lucas	6.6	2149	2005	Drama	342297	4000000	95	Peter Sarsgaard	1293	M	Patricia Clarkson	3314	F	Campbell Scott	5235	M	Bill Camp	5270	M	Elizabeth Marvel	5577	F	Linda Emond	7810	F	The gay screenwriter Robert who is grieving the recent loss of his lover writes a screenplay based on his biography and tries to sell it to the Hollywood producer Jeffrey. He offers one million dollars for his work provided changes in the story replacing the dying man per a woman to make a commercial film. Jeffrey shows the screenplay to his wife Elaine who loves to write and to plant flowers and she is also delighted with the story. Robert works introducing the required modifications and Jeffrey who is bisexual has an affair with him. Meanwhile Elaine finds the gay website where Robert writes and she creates a fake profile to have conversation with him pretending that she is his deceased lover. Soon she learns the affair of her husband and she decides to leave him. But when the gay Robert discovers the truth he has a breakdown and takes vengeance for Elaine with tragic consequences.
Fifty Shades of Black (2016)	Michael Tiddes	3.5	10584	2016	Comedy	21164799	5000000	92	Mircea Monroe	2440	F	Marlon Wayans	2697	M	Dave Sheridan	5073	M	Kali Hawk	5150	F	Fred Willard	5602	M	Mike Epps	6363	M	An inexperienced college student meets a wealthy businessman whose sexual practices put a strain on their relationship.
The Deep End (2001)	Scott McGehee	6.7	9835	2001	Crime	8821782	3000000	101	Tilda Swinton	14	F	Goran Visnjic	1336	M	Josh Lucas	1968	M	Jonathan Tucker	3049	M	Raymond J. Barry	5946	M	Tamara Hope	6343	F	With her husband perpetually away at work a mother raises her children virtually alone. Her teenage son is testing the waters of the adult world and early one morning she wakes to find the dead body of his gay lover on the beach of their rural lakeside home. What would you do? What is rational and what do you do to protect your child? How far do you go and when do you stop?
Assassins (1995)	Richard Donner	6.3	63817	1995	Action	83306268	50000000	132	Sylvester Stallone	224	M	Julianne Moore	818	F	Antonio Banderas	1686	M	Kelly Rowan	5449	F	Reed Diamond	7540	M	Muse Watson	9562	M	Robert Rath is a seasoned hitman who just wants out of the business with no back talk. But as things go it ain't so easy. A younger peppier assassin named Bain is having a field day trying to kill said older assassin. Rath teams up with a computer hacker named Electra to defeat the obsessed Bain.
They (2002)	Robert (I) Harmon	4.8	10989	2002	Horror	16130385	17000000	89	Jodelle Ferland	115	F	Ethan Embry	1370	M	Dagmara Dominczyk	2632	F	Marc Blucas	2709	M	Alexander Gould	3046	M	Jessica Amlee	4001	F	After witnessing a horrific and traumatic event Julia Lund a graduate student in psychology gradually comes to the realization that everything which scared her as a child could be real. And what's worse it might be coming back to get her...
Runner Runner (2013)	Brad Furman	5.6	52749	2013	Crime	62675095	30000000	88	Ben Affleck	81	M	Gemma Arterton	274	F	Justin Timberlake	758	M	Sam Palladio	1911	M	Anthony Mackie	2983	M	Ben Schwartz	4492	M	Princeton grad student Richie believing he's been swindled travels to Costa Rica to confront online gambling tycoon Ivan Block. Richie is seduced by Block's promise of immense wealth until he learns the disturbing truth about his benefactor. When the FBI tries to coerce Richie to help bring down Block Richie faces his biggest gamble ever: attempting to outmaneuver the two forces closing in on him.
3 Strikes (2000)	DJ Pooh	4	1433	2000	Comedy	9821335	3400000	82	Meagan Good	2093	F	Dean Norris	2629	M	Anthony Anderson	3578	M	Mo'Nique	4918	F	Vincent Schiavelli	5027	M	Mike Epps	6363	M	Brian Hooks plays a character who is just released from jail. And the state adopts a "3 strikes" rule for felons that involves serious penalties. Hooks has 2 strikes and wants to change his life for the better. When a friend picks him up they are pulled over and his friend shoots at police officers and Hooks escapes. Now Hooks a wanted man must clear his name of having nothing to do with the shooting.
The Infiltrator (2016)	Brad Furman	7.1	19364	2016	Biography	14805854	28000000	127	Bryan Cranston	182	M	Diane Kruger	386	F	Benjamin Bratt	984	M	Joseph Gilgun	1467	M	Jason Isaacs	1540	M	John Leguizamo	1748	M	In 1986 federal agent Robert Mazur (Bryan Cranston) goes under cover to infiltrate the trafficking network of Colombian drug kingpin Pablo Escobar. Working with fellow agents Kathy Ertz (Diane Kruger) and Emir Abreu (John Leguizamo) Mazur poses as a slick money-laundering businessman named Bob Musella. Gaining the confidence of Roberto Alcaino (Benjamin Bratt) Escobar's top lieutenant Mazur must navigate a vicious criminal underworld where one wrong move could cost him everything.
It's Pat (1994)	Adam (I) Bernstein	2.6	8545	1994	Comedy	60822	8000000	77	Kathy Najimy	333	F	Charles Rocket	2644	M	Dave Foley	4982	M	Mitch Pileggi	5727	M	Phil LaMarr	6546	M	Tim Meadows	7650	M	Pat Riley an obnoxious busybody of undeterminable sex meets and falls in love with Chris a sensitive caring person also of undeterminable sex. Their relationship suffers because Pat's a lout and cannot decide on a direction for its life. Meanwhile Pat's neighbor Kyle falls further and further into obsession with Pat fascinated by its indeterminate sexuality.
Sleepy Hollow (1999)	Tim (I) Burton	7.4	271358	1999	Fantasy	206071502	100000000	105	Johnny Depp	28	M	Christopher Lee	616	M	Christopher Walken	1128	M	Michael Gambon	1352	M	Ian McDiarmid	1851	M	Casper Van Dien	1898	M	The curse of the headless horseman is the legacy of the small town of Sleepy Hollow. Spearheaded by the eager Constable Ichabod Crane and his new world ways into the quagmire of secrets and murder secrets once laid to rest best forgotten and now reawakened and he too holding a dark secret of a past once gone.
Igor (2008)	Anthony Leondis	6.1	19814	2008	Animation	30747504	25000000	87	John Cusack	619	M	Christian Slater	753	M	Steve Buscemi	1362	M	Jennifer Coolidge	1574	F	John Cleese	3290	M	Frank Welker	4150	M	In a world filled with Mad Scientists and Evil Inventions one talented evil scientist's hunch-backed lab assistant has big dreams of becoming a Mad Scientist himself and winning the annual Evil Science Fair.
Crocodile Dundee in Los Angeles (2001)	Simon Wincer	4.8	19951	2001	Adventure	39438674	21150000	92	Rick Gonzalez	1567	M	Jonathan Banks	2175	M	Linda Kozlowski	3473	F	Paul Hogan	4462	M	Jere Burns	5812	M	George Hamilton	6353	M	From the opening shot of a Jurassic Park-esque reptilian eye you know you are in for a wild ride. As Mick "Crocodile" Dundee sits in a canoe sharpening his famous knife a monstrous croc hides somewhere in the deep. The croc suddenly attacks tearing Mick's boat to pieces and leaving him and mate Jacko up a tree. Life for Mick can only get easier right? When Mick arrives at home he discovers longtime companion Sue's newspaper-mogul father has called and needs her help on an article at the paper's Los Angeles branch. Mick who recognizes his importance in the modernizing bush is now no more than as a tourist attraction agrees to join her and together Mick Sue and son Mikey head for Los Angeles. Here the adventure truly begins as Mick and Jacko brave a cowboy bar where the horsemen are of a different color and a Hollywood film party where everyone seems interested in Mick's mate Malcolm "Mal" Gibson's colorful exploits. Sue's article soon leads to a sleazy film producer so Mick gets a job as a monkey wrangler at his studio where his investigation uncovers some very sketchy goings-on.
Back in the Day (2005)	James (VIII) Hunter	4.5	608	2005	Action	32600000	5500000	103	Tia Carrere	1753	F	Giancarlo Esposito	1960	M	Pam Grier	2325	F	Ving Rhames	3139	M	Frank Langella	3281	M	Tatyana Ali	3327	F	In BACK IN THE DAY Reggie Cooper a young man from the rough side of the tracks who lives with his divorced affluent father in order to avoid the gang activity that almost claimed his teenage life in his mother's neighborhood. When Reggie reconnects with a recently paroled friend from his past he slips back into a life of crime with fatal consequences. Reggie becomes involved in the murder of a local preacher and in the aftermath of this crime he falls in love with the preacher's daughter. Ultimately he must choose between losing everything he cares about and his lifelong loyalty to his oldest friend. BACK IN THE DAY chronicles the powerful story of one man's search for personal redemption.
Dark Shadows (2012)	Tim (I) Burton	6.2	202478	2012	Comedy	245527149	100000000	113	Johnny Depp	28	M	Helena Bonham Carter	180	F	Jonny Lee Miller	390	M	Bella Heathcote	434	F	Michelle Pfeiffer	485	F	Christopher Lee	616	M	In the year 1752 Joshua and Naomi Collins with young son Barnabas set sail from Liverpool England to start a new life in America. But even an ocean was not enough to escape the mysterious curse that has plagued their family. Two decades pass and Barnabas (Johnny Depp) has the world at his feet-or at least the town of Collinsport Maine. The master of Collinwood Manor Barnabas is rich powerful and an inveterate playboy...until he makes the grave mistake of breaking the heart of Angelique Bouchard (Eva Green). A witch in every sense of the word Angelique dooms him to a fate worse than death: turning him into a vampire and then burying him alive. Two centuries later Barnabas is inadvertently freed from his tomb and emerges into the very changed world of 1972. He returns to Collinwood Manor to find that his once-grand estate has fallen into ruin. The dysfunctional remnants of the Collins family have fared little better each harboring their own dark secrets. Matriarch Elizabeth Collins Stoddard (Michelle Pfeiffer) has called upon live-in psychiatrist Dr. Julia Hoffman (Helena Bonham Carter) to help with her family troubles.
Firewalker (1986)	J. Lee Thompson	4.9	4382	1986	Action	11834302	8000000	104	John Rhys-Davies	2749	M	Chuck Norris	2948	M	Branscombe Richmond	6224	M	Louis Gossett Jr.	6420	M	Sonny Landham	7927	M	Will Sampson	8285	M	Max Donigan sets off on a treasure hunt with his friend Leo and newly-acquired partner Patricia who provided the treasure map. Along the way they encounter a few bar fights evil "coyotes" and other obstacles they are able to overcome with ease. When they find the temple with the treasure they also find the Firewalker who wants to retain the power of his ancestors and put an end to the trio's treasure hunt. In the end Max and his two friends persevere and return home wealthy.
Prom Night (2008/I)	Nelson (II) McCormick	3.9	28027	2008	Horror	57197876	20000000	88	Idris Elba	104	M	Jessica Stroup	1152	F	Brittany Snow	1193	F	Ming-Na Wen	1591	F	Kellan Lutz	2298	M	Scott Porter	2458	M	Donnas senior prom is supposed to be the best night of her life one of magic beauty and love. Surrounded by her best friends she should be safe from the horrors of her dark past. But when the night turns from magic to murder there is only one man who could be responsible the man she thought was gone forever. Now Donna and her friends must find a way to escape the sadistic rampage of an obsessed killer and survive their Prom Night.
Red Planet (2000)	Antony (I) Hoffman	5.7	48042	2000	Action	15983079	80000000	106	Val Kilmer	132	M	Carrie-Anne Moss	311	F	Benjamin Bratt	984	M	Simon Baker	1998	M	Tom Sizemore	2475	M	Terence Stamp	2540	M	In the near future Earth is dying. A new colony on Mars could be humanity's only hope. A team of American astronauts each a specialist in a different field is making the first manned expedition to the red planet and must struggle to overcome the differences in their personalities backgrounds and ideologies for the overall good of the mission. When their equipment suffers life-threatening damage and the crew must depend on one another for survival on the hostile surface of Mars their doubts fears and questions about God man's destiny and the nature of the universe become defining elements in their fates. In this alien environment they must come face to face with their most human selves.
The TV Set (2006)	Jake Kasdan	6.7	5099	2006	Comedy	265198	2000000	88	Sigourney Weaver	580	F	Allison Scagliotti	629	F	Judy Greer	1242	F	Seth Green	1255	M	Simon Helberg	1620	M	David Duchovny	1896	M	A television network is making a pilot of Mike's quirky comedy based on the aftermath of his brother's suicide. As the network suits ask for change after change and as Mike struggles with compromise there are strains on families execs who show rushes to their children leads who feel each other out and assistants who put a smile on everything. Can an honest show get made in the world of reality TV chasing an audience of teen-aged boys?
Agora (2009)	Alejandro Amenábar	7.2	53555	2009	Adventure	38422082	70000000	141	Rachel Weisz	358	F	Oscar Isaac	469	M	Rupert Evans	3911	M	Amber Rose Revah	5417	F	Max Minghella	6067	M	Ashraf Barhom	7878	M	Alexandria 391 AD: Hypatia teaches astronomy mathematics and philosophy. Her student Orestes is in love with her as is Davus her personal slave. As the city's Christians led by Ammonius and Cyril gain political power the institutions of learning may crumble along with the governance of slavery. Jump ahead 20 years: Orestes the city's prefect has an uneasy peace with Christians led by Cyril. A group from the newly empowered Christians has now taken to enforce their cultural hegemony zealously; first they see the Jews as their obstacle then nonbelievers. Hypatia has no interest in faith; she's concerned about the movement of celestial bodies and "the brotherhood of all". Although her former slave doesn't see it that way.
Get Rich or Die Tryin' (2005)	Jim (I) Sheridan	5.1	36381	2005	Biography	42000000	40000000	117	Mykelti Williamson	1486	M	Joy Bryant	1738	F	Adewale Akinnuoye-Agbaje	2036	M	Roger Moore	2319	M	Terrence Howard	3300	M	50 Cent	4165	M	Marcus is shot nine times by an unknown assailant. As the unidentified shooter points the gun to Marcus' head and pulls the trigger the film flashes back to his childhood. Marcus is a quiet young boy who adores his loving mother and the two live a relatively comfortable life on her drug-dealing income. She often has to leave him with his grandparents while she conducts business. She is murdered in an apparent drug deal gone wrong. Forced to live with his grandparents full-time they themselves also having children to look after Marcus finds his life less appealing as his grandfather works long hours to support the large family. As he grows older he rejects the idea of legal work and decides to deal drugs buying new clothing and even a gun. Eventually he abandons high school to sell drugs for local kingpin Levar and his underling Majestic full-time. Majestic however plans to become a major drug lord himself often conspiring with a rap artist he manages named Dangerous. Years later after Marcus reunites with his childhood sweetheart one of his friends is shot and paralyzed at a local club by a Colombian named Raul; the gunman originally aimed for Marcus. In retaliation Marcus attacks Raul but is unable to bring himself to kill Raul when he calls out to his father reminding Marcus of his own search for his lost father. When Raul refuses to identify Marcus as the shooter in a police line up he is free to go; Raul threatens him in silence through the one way mirror. After an anonymous tip off police raid his house and find a firearm and a supply of drugs which did not belong to Marcus. Marcus is jailed and during his time in prison he befriends an inmate named Bama. After encouragement from Bama Marcus leaves the drug trade behind to pursue and eventually fulfill his lifelong dream of becoming a rapper calling himself Young Caesar after Julius Caesar. Bama joins as his manager and producer. Bama gets out of jail before Marcus but promises he will see him again. When Marcus leaves jail Bama Justice Majestic and June Bug are waiting for him. Majestic invites Marcus to become his right-hand man (taking June Bug's place) but Marcus tells him of his aspirations to become a rapper which Majestic laughs off. Marcus leaves with Bama taking Justice with him. Justice and Bama initially have a clash of personalities but Marcus calms them after a roadside stop. Unconvinced of Marcus' dream Justice informs Majestic of his activities. As Marcus more seriously pursues music Majestic tries everything in his power to sabotage his success threatening record label employees DJs and more. Marcus refuses to stop and taunts Majestic and Dangerous in songs. Despite Marcus' insistence at avoiding criminal activity Bama convinces him to carry out one last robbery on a Columbian safe house. While this happens Majestic targets Marcus for death. After Marcus and his crew complete the robbery the film returns to the first scene. It is then revealed that Marcus is gunned down outside of his family's home by Justice. Marcus rethinks his life prioritizing his young child. After a long and painful recovery he records music again. Angered with Justice's failure Majestic brutally murders Justice. Shortly after Marcus meets with Levar who remorsefully reveals that he is Marcus' biological father and regrets not being there for him and his mother. Marcus prepares to go on stage donning a bulletproof vest. In the moments before the show he gains the ire of Majestic who reveals he murdered Marcus' mother years earlier. A fight ensues and Marcus leaves as the victor. Majestic begs for Marcus to be the one to kill him but Marcus is finally at peace with his inner demons. Marcus leaves Majestic in the hands of his cronies and as he walks out towards the crowd he stops as he hears a lone gunshot in the room behind him. There Bama fires additional shots into Majestic's corpse. As Marcus steps onto the stage to perform for the waiting crowd he removes his bulletproof vest.
