title,director,rating,votes,year,genre,gross,budget,run-time,actor1,actor1_rank,actor1_sex,actor2,actor2_rank,actor2_sex,actor3,actor3_rank,actor3_sex,actor4,actor4_rank,actor4_sex,actor5,actor5_rank,actor5_sex,actor6,actor6_rank,actor6_sex
X-Men: The Last Stand (2006),Brett Ratner,6.8,389446,2006,Action,459359555,210000000,104,Ben Foster,134,M,James Marsden,226,M,Hugh Jackman,252,M,Famke Janssen,304,F,Shohreh Aghdashloo,567,F,Rebecca Romijn,688,F
London Has Fallen (2016),Babak Najafi,5.9,82822,2016,Action,195691140,60000000,99,Gerard Butler,391,M,Morgan Freeman,932,M,Aaron Eckhart,1046,M,Angela Bassett,1259,F,Charlotte Riley,1295,F,Radha Mitchell,1638,F
Tin Men (1987),Barry (I) Levinson,6.5,6650,1987,Comedy,25411386,11000000,112,Richard Dreyfuss,1356,M,Danny DeVito,1812,M,Barbara Hershey,1875,F,John Mahoney,4580,M,Bruno Kirby,6593,M,J.T. Walsh,6801,M
Someday This Pain Will Be Useful to You (2011),Roberto Faenza,5.8,2120,2011,Drama,532777,8000000,95,Stephen Lang,454,M,Deborah Ann Woll,764,F,Ellen Burstyn,1721,F,Marcia Gay Harden,1843,F,Toby Regbo,2407,M,Peter Gallagher,3041,M
Lucy (2014/I),Luc Besson,6.4,335072,2014,Action,458863600,40000000,89,Scarlett Johansson,89,F,Analeigh Tipton,676,F,Morgan Freeman,932,M,Luc Besson,2732,M,Min-sik Choi,4979,M,Julian Rhind-Tutt,6073,M
Village of the Damned (1995),John (I) Carpenter,5.6,22195,1995,Horror,9417567,22000000,99,John Carpenter,457,M,Mark Hamill,763,M,Kirstie Alley,1266,F,Christopher Reeve,1799,M,Thomas Dekker,3310,M,Linda Kozlowski,3473,F
Piranha 3DD (2012),John Gulager,3.8,32497,2012,Comedy,8493728,5000000,83,Danielle Panabaker,137,F,Christopher Lloyd,712,M,Jean-Luc Bilodeau,1454,M,Katrina Bowden,1662,F,Ving Rhames,3139,M,Gary Busey,3162,M
Syrup (2013/I),Aram Rappaport,5.7,9239,2013,Comedy,656,2500000,90,Amber Heard,160,F,Brittany Snow,1193,F,Kirstie Alley,1266,F,Kellan Lutz,2298,M,Shiloh Fernandez,2929,M,Rachel Dratch,6098,F
Lovelace (2013),Rob (I) Epstein,6.2,31334,2013,Biography,356582,10000000,93,James Franco,192,M,Amanda Seyfried,470,F,Wes Bentley,558,M,Juno Temple,561,F,Peter Sarsgaard,1293,M,Robert Patrick,1294,M
Strange Wilderness (2008),Fred (II) Wolf,5.3,18793,2008,Adventure,6563357,20000000,87,Jonah Hill,665,M,Robert Patrick,1294,M,Justin Long,1447,M,Harry Hamlin,1852,M,Kevin Alejandro,1919,M,Steve Zahn,2600,M
Regarding Henry (1991),Mike (I) Nichols,6.7,23648,1991,Drama,43001500,50000000,108,Harrison Ford,471,M,J.J. Abrams,1283,M,Annette Bening,1297,F,John Leguizamo,1748,M,James Rebhorn,6763,M,Nancy Marchand,8519,F
Critters (1986),Stephen Herek,6,24036,1986,Action,13167232,2000000,82,Billy Zane,1407,M,Lin Shaye,1938,F,Scott Grimes,3871,M,Ethan Phillips,6246,M,M. Emmet Walsh,6257,M,Terrence Mann,9943,M
High-Rise (2015),Ben (I) Wheatley,5.7,19938,2015,Drama,323899,6100000,119,Luke Evans,52,M,Tom Hiddleston,283,M,Keeley Hawes,540,F,Sienna Miller,838,F,Augustus Prew,947,M,Sienna Guillory,1144,F
The Great Debaters (2007),Denzel Washington,7.6,48220,2007,Biography,30226144,15000000,126,Denzel Washington,322,M,Forest Whitaker,1800,M,Glen Powell,2149,M,Jurnee Smollett-Bell,2414,F,Nate Parker,3400,M,John Heard,4861,M
Eight Men Out (1988),John (I) Sayles,7.3,15248,1988,Drama,5680515,6000000,119,John Cusack,619,M,Christopher Lloyd,712,M,Michael Rooker,905,M,Charlie Sheen,995,M,Ken Berry,2517,M,David Strathairn,3520,M
Guest House Paradiso (1999),Adrian Edmondson,6.1,7890,1999,Comedy,1470458,3000000,89,Simon Pegg,528,M,Vincent Cassel,1505,M,Bill Nighy,1586,M,James D'Arcy,2251,M,Sophia Myles,2310,F,Kate Ashfield,2738,F
All or Nothing (2002),Mike (I) Leigh,7.6,8230,2002,Drama,121756,9000000,121,James Corden,1865,M,Timothy Spall,2654,M,Leo Bill,4627,M,Lesley Manville,7483,F,Daniel Mays,7497,M,Maxine Peake,7799,F
Let's Be Cops (2014),Luke (I) Greenfield,6.5,108945,2014,Comedy,138224951,17000000,104,Nina Dobrev,44,F,Jake Johnson,1666,M,Andy Garcia,1798,M,Natasha Leggero,1987,F,James D'Arcy,2251,M,Damon Wayans Jr.,2824,M
Twin Peaks: Fire Walk with Me (1992),David (I) Lynch,7.2,56839,1992,Drama,4160851,10000000,135,Kiefer Sutherland,624,M,David Lynch,1475,M,Kyle MacLachlan,2180,M,Sheryl Lee,2543,F,David Bowie,2808,M,Peggy Lipton,2959,F
Northfork (2003),Michael Polish,6.4,4914,2003,Drama,1420578,1900000,103,Ben Foster,134,M,Claire Forlani,654,F,Daryl Hannah,1229,F,James Woods,1965,M,Kyle MacLachlan,2180,M,Nick Nolte,2245,M
Guess Who (2005),Kevin Rodney Sullivan,5.9,34213,2005,Comedy,103075949,35000000,105,Zoe Saldana,121,F,David Krumholtz,595,M,Ashton Kutcher,718,M,David Ramsey,2823,M,Bernie Mac,5888,M,Mike Epps,6363,M
Aliens (1986),James (I) Cameron,8.4,496991,1986,Action,131060248,18500000,154,Sigourney Weaver,580,F,Michael Biehn,1400,M,Bill Paxton,2225,M,Carrie Henn,3115,F,Lance Henriksen,3157,M,Paul Reiser,5562,M
Shut Up and Sing (2006),Bruce Leddy,5.8,586,2006,Comedy,20903,1000000,96,David Harbour,667,M,Elizabeth Reaser,850,F,Rosemarie DeWitt,1504,F,June Diane Raphael,2482,F,Mark Feuerstein,4931,M,Peter Jacobson,7944,M
Connie and Carla (2004),Michael Lembeck,6.3,6918,2004,Comedy,8054280,20000000,108,Toni Collette,213,F,David Duchovny,1896,M,Greg Grunberg,3201,M,Robert John Burke,3800,M,Nia Vardalos,4365,F,Dash Mihok,4530,M
Big Fat Liar (2002),Shawn (I) Levy,5.4,29297,2002,Adventure,47811275,15000000,88,Alexandra Breckenridge,254,F,Taran Killam,1395,M,Amanda Bynes,1557,F,John Cho,1980,M,Mike Smith,2008,M,Paul Giamatti,2079,M
Stolen (2012),Simon (I) West,5.5,37385,2012,Action,304318,35000000,96,Nicolas Cage,203,M,Malin Akerman,438,F,Josh Lucas,1968,M,Danny Huston,2226,M,Sami Gayle,2904,F,Mark Valley,4869,M
The Guard (2011),John Michael McDonagh,7.3,65818,2011,Comedy,5359774,6000000,96,Mark Strong,1139,M,Brendan Gleeson,1668,M,Dominique McElligott,3029,F,Don Cheadle,3116,M,Fionnula Flanagan,3677,F,Liam Cunningham,4377,M
Street Kings (2008),David Ayer,6.8,95682,2008,Action,26415649,20000000,109,Keanu Reeves,169,M,Chris Evans,237,M,Naomie Harris,762,F,Hugh Laurie,888,M,Forest Whitaker,1800,M,Terry Crews,2303,M
Chappie (2015),Neill Blomkamp,6.9,177376,2015,Action,104399548,49000000,120,Hugh Jackman,252,M,Sigourney Weaver,580,F,Dev Patel,1644,M,Sharlto Copley,1892,M,Miranda Frigon,4838,F,Jose Pablo Cantillo,8109,M
Deep Impact (1998),Mimi Leder,6.1,136918,1998,Action,349464664,75000000,120,Elijah Wood,918,M,Morgan Freeman,932,M,Jon Favreau,1329,M,Leelee Sobieski,1426,F,James Cromwell,1645,M,Robert Duvall,1985,M
Stormbreaker (2006),Geoffrey Sax,5.1,20453,2006,Action,652526,40000000,93,Ewan McGregor,141,M,Alicia Silverstone,552,F,Mickey Rourke,627,M,Alex Pettyfer,660,M,Missi Pyle,990,F,Damian Lewis,1197,M
Underworld: Rise of the Lycans (2009),Patrick Tatopoulos,6.6,121999,2009,Action,91353501,35000000,92,Kate Beckinsale,112,F,Rhona Mitra,618,F,Michael Sheen,770,M,Bill Nighy,1586,M,Craig Parker,3302,M,Kevin Grevioux,9488,M
Home Alone 2: Lost in New York (1992),Chris Columbus,6.6,204699,1992,Adventure,358991681,18000000,120,Tim Curry,85,M,Macaulay Culkin,944,M,Donald Trump,1196,M,Ally Sheedy,1543,F,Rob Schneider,1691,M,Joe Pesci,1785,M
Robot & Frank (2012),Jake Schreier,7.1,53168,2012,Comedy,3317468,2500000,89,James Marsden,226,M,Susan Sarandon,524,F,Katherine Waterston,527,F,Liv Tyler,991,F,Peter Sarsgaard,1293,M,Ana Gasteyer,2069,F
Amy's Orgasm (2001),Julie (I) Davis,5.3,1611,2001,Comedy,513572,500000,87,Julie Bowen,1037,F,Mary Ellen Trainor,5745,F,Tina Lifford,6341,F,Jackie Debatin,7387,F,Nick Chinlund,8170,M,Marissa Jaret Winokur,8879,F
The Falling (2014),Carol (II) Morley,5.5,3752,2014,Drama,359082,750000,102,Maisie Williams,416,F,Ellie Bamber,1810,F,Joe Cole,3337,M,Greta Scacchi,4872,F,Maxine Peake,7799,F,Morfydd Clark,9249,F
Critical Care (1997),Sidney Lumet,6,1446,1997,Comedy,141853,12000000,107,James Spader,405,M,Jeffrey Wright,739,M,Edward Herrmann,1443,M,Albert Brooks,1625,M,Kyra Sedgwick,2466,F,Wallace Shawn,3050,M
The Last Winter (2006),Larry Fessenden,5.6,7334,2006,Horror,32921,5000000,101,Ron Perlman,693,M,Connie Britton,1583,F,Zach Gilford,3255,M,James Le Gros,4031,M,Kevin Corrigan,4573,M,Larry Fessenden,6787,M
Garden State (2004),Zach Braff,7.6,188933,2004,Comedy,35825316,2500000,102,Natalie Portman,138,F,Jim Parsons,1082,M,Peter Sarsgaard,1293,M,Denis O'Hare,1365,M,Zach Braff,2618,M,Jean Smart,2683,F
Fido (2006),Andrew (I) Currie,6.8,25333,2006,Comedy,298110,8000000,93,Carrie-Anne Moss,311,F,Alexia Fast,2026,F,Billy Connolly,3668,M,Dylan Baker,5394,M,Tim Blake Nelson,5769,M,Henry Czerny,6833,M
Basic (2003),John McTiernan,6.5,50543,2003,Action,15999250,50000000,98,Samuel L. Jackson,581,M,John Travolta,644,M,Roselyn Sanchez,1639,F,Taye Diggs,1773,M,Giovanni Ribisi,1903,M,Harry Connick Jr.,2460,M
Step Up All In (2014),Trish Sie,6,25924,2014,Drama,86165646,45000000,112,Alyson Stoner,1331,F,Ryan Guzman,2124,M,Izabella Miko,2265,F,Adam G. Sevani,6665,M,Christie Laing,7232,F,Stephen Boss,8615,M
What's the Worst That Could Happen? (2001),Sam (I) Weisman,5.5,12638,2001,Comedy,32095318,60000000,94,William Fichtner,861,M,John Leguizamo,1748,M,Danny DeVito,1812,M,Ana Gasteyer,2069,F,Carmen Ejogo,2302,F,Martin Lawrence,2464,M
Disorganized Crime (1989),Jim (I) Kouf,6.3,1771,1989,Action,7723506,20000000,103,Ed O'Neill,1412,M,Fred Gwynne,2082,M,Lou Diamond Phillips,2471,M,Dean Norris,2629,M,Corbin Bernsen,5376,M,Daniel Roebuck,6223,M
The Young Victoria (2009),Jean-Marc Vallée,7.3,45901,2009,Biography,27409889,35000000,100,Emily Blunt,42,F,Rupert Friend,882,M,Paul Bettany,1051,M,Michiel Huisman,1058,M,Mark Strong,1139,M,Genevieve O'Reilly,1257,F
The Midnight Meat Train (2008),Ryûhei Kitamura,6.1,48248,2008,Horror,3533227,15000000,103,Bradley Cooper,507,M,Leslie Bibb,853,F,Brooke Shields,1455,F,Vinnie Jones,2315,M,Tony Curran,3367,M,Ted Raimi,3369,M
Dragonfly (2002),Tom Shadyac,6.1,32058,2002,Drama,21500000,60000000,104,Liza Weil,632,F,Kevin Costner,716,M,Jacob Vargas,3739,M,Justina Machado,5722,F,Joe Morton,6238,M,Gillian Vigman,6677,F
Southland Tales (2006),Richard (II) Kelly,5.5,32908,2006,Comedy,374743,17000000,160,Dwayne Johnson,242,M,Sarah Michelle Gellar,424,F,Justin Timberlake,758,M,Amy Poehler,1275,F,Kevin Smith,1397,M,Eli Roth,1413,M
Contraband (2012),Baltasar Kormákur,6.5,102948,2012,Action,96262212,25000000,109,Kate Beckinsale,112,F,Ben Foster,134,M,Mark Wahlberg,398,M,J.K. Simmons,810,M,Diego Luna,1815,M,Giovanni Ribisi,1903,M
The Day After Tomorrow (2004),Roland Emmerich,6.4,338351,2004,Action,544272402,125000000,124,Jake Gyllenhaal,73,M,Emmy Rossum,116,F,Austin Nichols,179,M,Dennis Quaid,1751,M,Sela Ward,1756,F,Rick Hoffman,2949,M
On Deadly Ground (1994),Steven Seagal,4.4,18265,1994,Action,38590500,50000000,101,Billy Bob Thornton,433,M,John C. McGinley,599,M,Steven Seagal,871,M,Michael Caine,1633,M,Michael Jai White,2911,M,R. Lee Ermey,3931,M
Premium Rush (2012),David Koepp,6.5,96339,2012,Action,20275446,35000000,91,Joseph Gordon-Levitt,342,M,Michael Shannon,1076,M,Aaron Tveit,2128,M,Dania Ramirez,2704,F,Terry Serpico,5272,M,Aasif Mandvi,6486,M
Milk (2008/I),Gus Van Sant,7.6,138374,2008,Biography,31841299,20000000,128,James Franco,192,M,Dave Franco,245,M,Boyd Holbrook,331,M,Josh Brolin,856,M,Sean Penn,1199,M,Denis O'Hare,1365,M
Pleasantville (1998),Gary (I) Ross,7.5,104639,1998,Comedy,40568025,40000000,124,Reese Witherspoon,455,F,William H. Macy,1016,M,Paul Walker,1286,M,Tobey Maguire,1670,M,Marley Shelton,2145,F,Marc Blucas,2709,M
Anything Else (2003),Woody Allen,6.4,25497,2003,Comedy,3203044,18000000,108,Woody Allen,814,M,Fisher Stevens,1209,M,Danny DeVito,1812,M,Stockard Channing,2242,F,Jimmy Fallon,2308,M,Adrian Grenier,2908,M
The Lord of the Rings: The Two Towers (2002),Peter (I) Jackson,8.7,1121280,2002,Adventure,926047111,94000000,172,Viggo Mortensen,270,M,Karl Urban,478,M,Cate Blanchett,480,F,Peter Jackson,555,M,Christopher Lee,616,M,Brad Dourif,730,M
Freddy Got Fingered (2001),Tom (III) Green,4.5,40068,2001,Comedy,14249005,14000000,87,Noel Fisher,669,M,Anthony Michael Hall,1612,M,Eddie Kaye Thomas,2137,M,Rip Torn,4013,M,Harland Williams,5015,M,Marisa Coughlan,5100,F
Scent of a Woman (1992),Martin Brest,8,197623,1992,Drama,134895607,31000000,156,Matt Smith,360,M,Al Pacino,510,M,Gabrielle Anwar,1345,F,Frances Conroy,1627,F,Philip Seymour Hoffman,1655,M,Chris O'Donnell,2103,M
Double Dragon (1994),James Yukich,3.6,8796,1994,Action,2341309,7850000,81,Alyssa Milano,744,F,Robert Patrick,1294,M,Mark Dacascos,2905,M,Scott Wolf,3249,M,Michael Berryman,4037,M,Julia Nickson,5903,F
Kafka (1991),Steven Soderbergh,7,7960,1991,Drama,1059071,11000000,98,Jeremy Irons,1190,M,Jerome Flynn,2012,M,Alec Guinness,3018,M,Simon McBurney,3910,M,Ian Holm,4786,M,Keith Allen,6427,M
Christmas with the Kranks (2004),Joe (I) Roth,5.2,27891,2004,Comedy,96572480,60000000,99,Jamie Lee Curtis,105,F,Dan Aykroyd,1699,M,Julie Gonzalo,1769,F,Tim Allen,1846,M,Felicity Huffman,3531,F,Jake Busey,3676,M
Black Swan (2010),Darren Aronofsky,8,559670,2010,Drama,329398046,13000000,108,Winona Ryder,30,F,Mila Kunis,76,F,Natalie Portman,138,F,Sebastian Stan,355,M,Ksenia Solo,1318,F,Vincent Cassel,1505,M
Eight Below (2006),Frank (I) Marshall,7.3,49781,2006,Adventure,120455994,40000000,120,Paul Walker,1286,M,Moon Bloodgood,2843,F,Bruce Greenwood,3591,M,Jason Biggs,3751,M,Wendy Crewson,5400,F,Garry Chalk,7788,M
Heaven & Earth (1993),Oliver (I) Stone,6.8,10898,1993,Action,5864949,33000000,140,Tommy Lee Jones,1444,M,Jeffrey Jones,2249,M,Robert John Burke,3800,M,Conchata Ferrell,4897,F,Tim Guinee,6083,M,Annie McEnroe,7761,F
Carol (2015),Todd Haynes,7.2,66713,2015,Drama,12706393,11800000,118,Rooney Mara,258,F,Sarah Paulson,294,F,Cate Blanchett,480,F,Kyle Chandler,1306,M,Cory Michael Smith,1926,M,Tim Miller,1937,M
Detroit Rock City (1999),Adam (I) Rifkin,6.8,30890,1999,Comedy,4217115,34000000,95,Emmanuelle Chriqui,560,F,Lindy Booth,1099,F,Melanie Lynskey,1123,F,Natasha Lyonne,1347,F,Edward Furlong,1622,M,Lin Shaye,1938,F
Zodiac (2007),David Fincher,7.7,309707,2007,Crime,84785914,65000000,157,Jake Gyllenhaal,73,M,Jimmi Simpson,101,M,Dermot Mulroney,189,M,Robert Downey Jr.,290,M,Mark Ruffalo,817,M,Clea DuVall,1880,F
Abduction (2011/I),John (I) Singleton,5,65628,2011,Action,86648359,35000000,106,Dermot Mulroney,189,M,Maria Bello,312,F,Sigourney Weaver,580,F,Taylor Lautner,696,M,Jason Isaacs,1540,M,Alfred Molina,3023,M
The Meddler (2015),Lorene Scafaria,6.3,3862,2015,Comedy,4259460,3200000,100,Rose Byrne,306,F,Susan Sarandon,524,F,J.K. Simmons,810,M,Laura San Giacomo,1291,F,Lucy Punch,1674,F,Harry Hamlin,1852,M
The Place Beyond the Pines (2012),Derek Cianfrance,7.3,190409,2012,Crime,21383298,15000000,140,Ryan Gosling,212,M,Rose Byrne,306,F,Bradley Cooper,507,M,Mahershala Ali,541,M,Ben Mendelsohn,1077,M,Eva Mendes,1211,F
Canadian Bacon (1995),Michael (II) Moore,5.9,13777,1995,Comedy,178104,11000000,91,John Candy,652,M,Dan Aykroyd,1699,M,Michael Moore,1789,M,Jim Belushi,2686,M,Kevin Pollak,2766,M,Alan Alda,2877,M
The Fountain (2006),Darren Aronofsky,7.3,193384,2006,Drama,15978422,35000000,96,Hugh Jackman,252,M,Rachel Weisz,358,F,Ethan Suplee,1024,M,Ellen Burstyn,1721,F,Cliff Curtis,2429,M,Mark Margolis,4900,M
Free Birds (2013),Jimmy (I) Hayward,5.9,18274,2013,Adventure,110387072,55000000,91,Woody Harrelson,943,M,Amy Poehler,1275,F,Owen Wilson,1404,M,Dan Fogler,1487,M,Keith David,2222,M,Colm Meaney,4546,M
Crimes and Misdemeanors (1989),Woody Allen,8,43623,1989,Comedy,18254702,19000000,104,Anjelica Huston,286,F,Woody Allen,814,M,Daryl Hannah,1229,F,Frances Conroy,1627,F,Mia Farrow,2340,F,Alan Alda,2877,M
The Benchwarmers (2006),Dennis (I) Dugan,5.6,41039,2006,Comedy,57651794,33000000,80,Doug Jones,426,M,Rob Schneider,1691,M,Michael Moore,1789,M,James Earl Jones,2020,M,Lochlyn Munro,2121,M,David Spade,2143,M
Final Destination (2000),James (IV) Wong,6.7,183896,2000,Horror,112880294,23000000,98,Ali Larter,200,F,Devon Sawa,408,M,Kerr Smith,1274,M,Seann William Scott,1572,M,Brendan Fehr,1936,M,Tony Todd,3187,M
Cats & Dogs: The Revenge of Kitty Galore (2010),Brad Peyton,4.3,10403,2010,Action,112483764,85000000,82,James Marsden,226,M,Bette Midler,315,F,Christina Applegate,799,F,J.K. Simmons,810,M,Neil Patrick Harris,854,M,Elizabeth Daily,1327,F
Tombstone (1993),George P. Cosmatos,7.8,96826,1993,Action,56505065,25000000,134,Val Kilmer,132,M,Billy Bob Thornton,433,M,Stephen Lang,454,M,Sam Elliott,532,M,Kurt Russell,686,M,Michael Rooker,905,M
Clean and Sober (1988),Glenn Gordon Caron,6.7,4545,1988,Drama,8674093,12000000,124,Michael Keaton,740,M,Morgan Freeman,932,M,Claudia Christian,3850,F,Tate Donovan,4231,M,Harley Jane Kozak,4965,F,M. Emmet Walsh,6257,M
Just Go with It (2011),Dennis (I) Dugan,6.4,175543,2011,Comedy,214945591,80000000,117,Bailee Madison,56,F,Jennifer Aniston,177,F,Adam Sandler,400,M,Nicole Kidman,415,F,Minka Kelly,1299,F,Brooklyn Decker,2113,F
Shadow of the Vampire (2000),E. Elias Merhige,6.9,34552,2000,Drama,8279017,8000000,92,Cary Elwes,1002,M,Willem Dafoe,1564,M,John Malkovich,1861,M,Udo Kier,5856,M,Eddie Izzard,5873,M,Ronan Vibert,9181,M
Scary Movie 4 (2006),David (I) Zucker,5.1,94865,2006,Comedy,178262620,45000000,83,Anna Faris,565,F,Kevin Hart,743,M,Charlie Sheen,995,M,Bill Pullman,1220,M,Cloris Leachman,1750,F,James Earl Jones,2020,M
Allegiant (2016),Robert Schwentke,5.8,55172,2016,Action,179246868,110000000,120,Shailene Woodley,145,F,Miles Teller,298,M,Naomi Watts,423,F,Maggie Q,572,F,Theo James,804,M,Ashley Judd,1017,F
The Boxtrolls (2014),Graham Annable,6.8,42537,2014,Adventure,109285033,60000000,96,Toni Collette,213,F,Elle Fanning,250,F,Simon Pegg,528,M,Jared Harris,675,M,Ben Kingsley,1701,M,Isaac Hempstead Wright,2680,M
Across the Universe (2007),Julie Taymor,7.4,92784,2007,Drama,29367143,45000000,133,Evan Rachel Wood,1,F,Logan Marshall-Green,120,M,Salma Hayek,393,F,Ron Cephas Jones,1031,M,Jim Sturgess,1766,M,Joe Anderson,3036,M
American Pie (1999),Chris Weitz,7,318930,1999,Comedy,235483004,11000000,95,Mena Suvari,778,F,Casey Affleck,858,M,Tara Reid,971,F,Alyson Hannigan,1056,F,Christina Milian,1317,F,Natasha Lyonne,1347,F
San Andreas (2015),Brad Peyton,6.1,152157,2015,Action,473990832,110000000,114,Alexandra Daddario,37,F,Dwayne Johnson,242,M,Carla Gugino,473,F,Colton Haynes,692,M,Archie Panjabi,903,F,Paul Giamatti,2079,M
Big Nothing (2006),Jean-Baptiste Andrea,6.8,26199,2006,Comedy,83829,8000000,86,Alice Eve,102,F,David Schwimmer,263,M,Natascha McElhone,472,F,Simon Pegg,528,M,Jon Polito,2321,M,Julian Glover,4733,M
Double Take (2001),George (I) Gallo,5.3,5475,2001,Action,29823162,24000000,91,Edward Herrmann,1443,M,Vivica A. Fox,1689,F,Andrea Navedo,4651,F,Garcelle Beauvais,4692,F,Daniel Roebuck,6223,M,James Gregory,6338,M
