name,budget_mean,gross_total,budget_total,amount_of_movies,mean_actors,gross_mean
Barbra Streisand,36000000.0,147840027,72000000,2,2977.5454545454545,73920013.5
Paul (I) Verhoeven,62000000.0,1017541859,372000000,6,3275.4722222222222,169590309.83333334
Alan (I) Peterson,500000.0,3000000,500000,1,5096.333333333333,3000000.0
Asger Leth,42000000.0,46221189,42000000,1,1789.0,46221189.0
Anand Tucker,11333333.333333334,31862677,34000000,3,2807.1111111111113,10620892.333333334
Adam (I) Brooks,7000000.0,31973840,7000000,1,1085.5,31973840.0
Sydney Pollack,51000000.0,440966179,204000000,4,2495.7391304347825,110241544.75
Robert Celestino,5000000.0,10000000,5000000,1,5390.833333333333,10000000.0
Bobcat Goldthwait,5700000.0,334822,11400000,2,4064.7777777777778,167411.0
John (II) Simpson,6000000.0,1755826,6000000,1,6260.166666666667,1755826.0
Arnaud Desplechin,10000000.0,23220,10000000,1,5770.833333333333,23220.0
István (I) Szabó,18000000.0,7739049,18000000,1,1627.6666666666667,7739049.0
Edgar Wright,23000000.0,188196723,92000000,4,940.82352941176475,47049180.75
Iain Softley,49333333.333333336,115369514,148000000,3,1356.4444444444443,38456504.666666664
Michael (I) Gottlieb,6000000.0,42721196,6000000,1,3712.8333333333335,42721196.0
Tamara Jenkins,7000000.0,12090644,14000000,2,2692.8333333333335,6045322.0
Lawrence Guterman,72000000.0,258240133,144000000,2,2226.5833333333335,129120066.5
Bruno Barreto,30000000.0,15589458,30000000,1,1001.3333333333334,15589458.0
Phil Traill,11500000.0,33861211,23000000,2,1311.0,16930605.5
